Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,ISO3166_2
North Dakota,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Traill, North Dakota",38097
North Dakota,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Walsh, North Dakota",38099
North Dakota,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Williams, North Dakota",38105
Ohio,US,2026-03-20 02:06:26,0,0,3,0,0,0,"Cuyahoga, Ohio",39035
Ohio,US,2026-03-20 02:06:26,0,0,6,0,0,0,"Franklin, Ohio",39049
Oklahoma,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Unknown County, Oklahoma",40109
Arizona,US,2026-03-20 02:06:26,0,0,4,0,0,0,"Maricopa, Arizona",04013
Arizona,US,2026-03-20 02:06:26,0,0,47,0,0,0,"Mohave, Arizona",04015
Arizona,US,2026-03-20 02:06:26,0,0,2,0,0,0,"Pima, Arizona",04019
Arizona,US,2026-03-20 02:06:26,0,0,3,0,0,0,"Pinal, Arizona",04021
Oregon,US,2026-03-20 02:06:26,0,0,2,0,0,0,"Unknown County, Oregon",00041
Oregon,US,2026-03-20 02:06:26,0,0,2,0,0,0,"Clackamas, Oregon",41005
Oregon,US,2026-03-20 02:06:26,0,0,2,0,0,0,"Linn, Oregon",41043
Pennsylvania,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Chester, Pennsylvania",42029
Pennsylvania,US,2026-03-20 02:06:26,0,0,8,0,0,0,"Lancaster, Pennsylvania",42071
Pennsylvania,US,2026-03-20 02:06:26,0,0,3,0,0,0,"Montgomery, Pennsylvania",42091
South Dakota,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Brookings, South Dakota",46011
South Dakota,US,2026-03-20 02:06:26,0,0,6,0,0,0,"Grant, South Dakota",46051
Texas,US,2026-03-20 02:06:26,0,0,5,0,0,0,"Bandera, Texas",48019
Texas,US,2026-03-20 02:06:26,0,0,42,0,0,0,"El Paso, Texas",48141
Texas,US,2026-03-20 02:06:26,0,0,2,0,0,0,"Frio, Texas",48163
Texas,US,2026-03-20 02:06:26,0,0,99,0,0,0,"Hudspeth, Texas",48229
Texas,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Kendall, Texas",48259
Texas,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Lubbock, Texas",48303
Texas,US,2026-03-20 02:06:26,0,0,12,0,0,0,"Rockwall, Texas",48397
Utah,US,2026-03-20 02:06:26,0,0,7,0,0,0,"Davis, Utah",49011
Utah,US,2026-03-20 02:06:26,0,0,43,0,0,0,"Salt Lake, Utah",49035
Utah,US,2026-03-20 02:06:26,0,0,3,0,0,0,"San Juan, Utah",49037
Utah,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Summit, Utah",49043
Utah,US,2026-03-20 02:06:26,0,0,11,0,0,0,"Tooele, Utah",49045
Utah,US,2026-03-20 02:06:26,0,0,51,0,0,0,"Utah, Utah",49049
Utah,US,2026-03-20 02:06:26,0,0,2,0,0,0,"Weber-Morgan, Utah",49057
Vermont,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Washington, Vermont",50023
Washington,US,2026-03-20 02:06:26,0,0,8,0,0,0,"Clark, Washington",53011
Washington,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Kittitas, Washington",53037
Washington,US,2026-03-20 02:06:26,0,0,14,0,0,0,"Snohomish, Washington",53061
Washington,US,2026-03-20 02:06:26,0,0,3,0,0,0,"Stevens, Washington",53065
Wisconsin,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Dane, Wisconsin",55025
Wisconsin,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Waukesha, Wisconsin",55133
California,US,2026-03-20 02:06:26,0,0,2,0,0,0,"Unknown County, California",00006
California,US,2026-03-20 02:06:26,0,0,4,0,0,0,"Los Angeles, California",06037
California,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Napa, California",06055
California,US,2026-03-20 02:06:26,0,0,2,0,0,0,"Orange, California",06059
California,US,2026-03-20 02:06:26,0,0,4,0,0,0,"Placer, California",06061
California,US,2026-03-20 02:06:26,0,0,3,0,0,0,"Riverside, California",06065
California,US,2026-03-20 02:06:26,0,0,2,0,0,0,"Sacramento, California",06067
California,US,2026-03-20 02:06:26,0,0,2,0,0,0,"San Mateo, California",06081
California,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Santa Clara, California",06085
California,US,2026-03-20 02:06:26,0,0,9,0,0,0,"Shasta, California",06089
Colorado,US,2026-03-20 02:06:26,0,0,5,0,0,0,"Adams, Colorado",08001
Colorado,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Arapahoe, Colorado",08005
Colorado,US,2026-03-20 02:06:26,0,0,3,0,0,0,"Broomfield, Colorado",08014
Colorado,US,2026-03-20 02:06:26,0,0,1,0,0,0,"Weld, Colorado",08123
